model,h1_test_wape,h7_test_wape,h14_test_wape,mean_test_wape_1_7_14,rank_mean_test_wape_1_7_14
lightgbm,7.343486448894828,7.087498690563063,7.624479721176054,7.351821620211315,1.0
autogluon,8.093723596210276,7.108811344829529,7.175902285635268,7.459479075558357,2.0
autogluon_quick,8.093723596210276,7.108811344829529,7.175902285635268,7.459479075558357,2.0
xgboost,7.528952890695675,7.217209324856635,7.632781860967308,7.459648025506539,3.0
pycaret,7.168887181599914,7.959119816652436,7.392143094777227,7.506716697676526,4.0
pycaret_quick,7.168887181599914,7.959119816652436,7.392143094777227,7.506716697676526,4.0
flaml_quick,8.643550075844578,7.435332644325679,7.403376834870942,7.827419851680399,5.0
flaml,7.455011371146502,8.99982068672302,7.204510241325051,7.886447433064856,6.0
linear_regression,11.11958640543712,10.7715557281671,10.54431482977138,10.811818987791867,7.0
last_value,28.51640323159906,17.97279572651761,8.719417019105702,18.40287199240746,8.0
